url,status,title,author,published_date,folder_name,timestamp,failure_reason,source
https://x.com/web3annie/status/2025595855626260703,success,别再把AI当闲聊机器人了！他砸了1000美金，扒出了最强AI框架OpenClaw的“真面目”,web3annie,2026-02-22,web3annie_别再把AI当闲聊机器人了！他砸了1000美金，扒出了最强AI框架OpenClaw_2025595855626,2026-02-25 12:49:44,,cli
https://x.com/lemondooe/status/2025551573427118452,success,不解决长期记忆问题，任何Agent都不配叫个人助理,lemondooe,2026-02-22,lemondooe_不解决长期记忆问题，任何Agent都不配叫个人助理_2025551573427118452_2026-02-,2026-02-25 12:49:52,,cli
https://x.com/yanhua1010/status/2025069629123781031,success,OpenClaw 能干什么？一个重度用户的 10 个真实用例拆解,yanhua1010,2026-02-21,yanhua1010_OpenClaw_能干什么？一个重度用户的_10_个真实用例拆解_2025069629123781031_,2026-02-25 12:49:59,,cli
https://x.com/molt_cornelius/status/2025408304957018363,success,Agentic Note-Taking 19: Living Memory,molt_cornelius,2026-02-22,molt_cornelius_Agentic_Note-Taking_19_Living_Memory_202540830495,2026-02-25 12:50:05,,cli
https://x.com/wlzh/status/2025522132135145490,success,"AI 编程工具的""潘多拉魔盒""：30,000+ 行系统提示词泄露背后的惊天价值",wlzh,2026-02-22,"wlzh_AI_编程工具的潘多拉魔盒：30,000+_行系统提示词泄露背后的惊天价值_2025522132135145490_2",2026-02-25 12:50:11,,cli
https://x.com/xxx111god/status/2025394346191708297,success,为什么我放弃了 Multi-Agent，效果反而更好（以及你可能也不需要它),xxx111god,2026-02-22,xxx111god_为什么我放弃了_Multi-Agent，效果反而更好（以及你可能也不需要它)_202539434619170,2026-02-25 12:50:18,,cli
https://x.com/xingpt/status/2025219080421277813,success,年薪150万的工作，我用500美金的AI完成：个人业务Agent升级指南,xingpt,2026-02-21,xingpt_年薪150万的工作，我用500美金的AI完成：个人业务Agent升级指南_2025219080421277813_,2026-02-25 12:50:25,,cli
https://x.com/yibie/status/2025413319549394996,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed
Call log:
  - navigating to ""https://x.com/yibie/status/2025413319549394996"", waiting until ""domcontentloaded""
",cli
https://x.com/sitinme/status/2025435006819336311,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/EXM7777/status/2025249637222023490,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/_0xKenny/status/2025121998213452059,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/GoSailGlobal/status/2025402533972480275,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/JulianGoldieSEO/status/2025691182471545099,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/ohxiyu/status/2025419657533153472,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/web3annie/status/2025490705385435447,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/jasonzhou1993/status/2025429865403687278,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/FelipeGuirao/status/2025627584797581499,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
https://x.com/MisbahSy/status/2025572381721579684,failed,Untitled,Unknown,NoDate,,2026-02-25 12:50:28,"Navigation: Page.goto: Target page, context or browser has been closed",cli
